#{"t_start": 1787664758.3272314, "env_id": "None"}
r,l,t
229.057714,200,215.985544
228.900914,200,216.397852
230.719778,200,216.803458
229.740529,200,217.219723
226.239307,200,217.645591
223.81498,200,218.060624
225.884921,200,218.47542
229.622461,200,218.887488
230.848996,200,219.30119
233.03283,200,220.252652
230.329093,200,220.667359
230.292108,200,221.059842
227.654749,200,221.457642
232.065723,200,221.848624
224.273974,200,222.244095
222.772805,200,222.647023
228.694327,200,223.055845
227.596301,200,223.449615
231.285909,200,223.86946
229.538023,200,224.903197
229.074591,200,225.322279
227.131326,200,225.733479
229.431152,200,226.134446
232.726066,200,226.53967
228.842312,200,226.956586
226.865823,200,227.349719
228.798281,200,227.742932
231.567714,200,228.141004
230.326755,200,228.553369
231.76398,200,228.95799
233.787192,200,229.931952
228.523238,200,230.326696
227.665899,200,230.72397
227.071246,200,231.117361
226.197888,200,231.510455
229.152104,200,231.906749
229.907529,200,232.299779
222.924455,200,232.697729
228.444685,200,233.120391
229.347372,200,233.519431
