#{"t_start": 1787711273.1771019, "env_id": "None"}
r,l,t
216.259363,200,191.788187
207.966196,200,192.167204
211.158154,200,192.546342
218.655795,200,192.928198
219.587454,200,193.304601
221.731966,200,193.695679
221.95797,200,194.07526
216.612029,200,194.454089
227.686725,200,195.406262
220.358725,200,195.788991
214.425182,200,196.166057
217.309781,200,196.553069
222.985431,200,196.932682
222.619493,200,197.309192
217.381014,200,197.698049
214.927971,200,198.08089
219.376771,200,198.461092
214.543924,200,198.841639
221.237391,200,199.793324
225.534661,200,200.175906
218.125446,200,200.555699
214.845334,200,200.937383
204.613813,200,201.314487
221.138869,200,201.6923
222.606067,200,202.075126
219.685009,200,202.45537
228.956426,200,202.84517
218.075335,200,203.230022
225.824543,200,203.609597
225.794176,200,204.528989
222.037846,200,204.912364
224.116769,200,205.289307
228.925274,200,205.683474
228.029192,200,206.067389
224.087841,200,206.443036
221.942979,200,206.82539
218.571206,200,207.20479
231.956885,200,207.590055
218.910571,200,207.969256
228.355312,200,208.923755
224.765091,200,209.297919
221.038691,200,209.688389
226.388712,200,210.07121
212.974587,200,210.453301
223.860403,200,210.837765
218.33511,200,211.215312
216.201322,200,211.603485
216.664567,200,211.989284
228.055251,200,212.36633
215.426857,200,213.303565
221.892878,200,213.688262
218.423283,200,214.062891
220.005727,200,214.448275
217.282273,200,214.839618
231.227702,200,215.218043
228.425618,200,215.594939
205.380557,200,215.980543
226.536249,200,216.358537
224.584757,200,216.740298
223.139432,200,217.659176
229.197521,200,218.054823
229.664939,200,218.433201
220.070973,200,218.81754
229.651392,200,219.1973
209.719358,200,219.58394
231.34672,200,219.967241
224.152009,200,220.353529
225.981203,200,220.736931
226.649151,200,221.12796
224.061952,200,221.510881
215.371951,200,222.45406
221.729889,200,222.840003
227.72459,200,223.2159
221.993998,200,223.595888
227.267131,200,223.977805
225.816344,200,224.36408
224.823702,200,224.743831
211.218214,200,225.119871
214.475363,200,225.503653
233.635421,200,225.884872
222.808486,200,226.851534
208.937213,200,227.232074
215.025011,200,227.612894
218.986662,200,227.99094
207.555585,200,228.380987
232.359409,200,228.764274
208.246139,200,229.142465
216.160209,200,229.517058
225.954081,200,229.908483
222.579237,200,230.287973
214.299759,200,231.21582
226.98081,200,231.59901
217.251971,200,231.978085
229.966124,200,232.36136
222.589267,200,232.745749
223.404517,200,233.134287
226.038427,200,233.511492
224.113107,200,233.890502
217.602639,200,234.271332
227.959984,200,234.652699
229.791612,200,235.632227
216.463892,200,236.039067
218.708991,200,236.428941
226.531003,200,236.813503
229.479756,200,237.223865
230.519217,200,237.623203
227.033442,200,238.011724
221.929038,200,238.414553
227.151025,200,238.900339
214.57018,200,239.37171
220.069462,200,239.805952
222.267995,200,240.958496
228.735396,200,241.380119
230.866712,200,241.786089
219.610152,200,242.204451
228.536156,200,242.599662
211.437736,200,242.984131
227.524034,200,243.371176
217.472599,200,243.841566
216.268318,200,244.257919
229.84686,200,244.649388
220.712545,200,245.73907
223.280514,200,246.165012
223.246064,200,246.569532
224.678049,200,246.969619
220.735514,200,247.369843
228.843412,200,247.777804
227.471708,200,248.198495
228.104169,200,248.613547
228.174288,200,249.046674
231.409035,200,249.478899
227.033016,200,250.551605
220.115958,200,250.981316
225.145393,200,251.463257
222.581525,200,251.877364
226.314893,200,252.305252
232.681578,200,252.724912
229.785144,200,253.141987
229.899418,200,253.539331
232.696358,200,253.936214
232.712301,200,254.353558
231.620014,200,255.433869
223.02994,200,255.850604
232.907604,200,256.271602
231.549086,200,256.671003
221.342279,200,257.071049
223.979708,200,257.531664
221.889685,200,257.922678
225.966635,200,258.319564
227.451295,200,258.722343
226.135393,200,259.116343
223.795484,200,260.104565
223.510457,200,260.536151
234.12305,200,260.934683
215.015376,200,261.335861
226.809733,200,261.749904
230.877695,200,262.199039
227.561209,200,262.60584
225.319283,200,263.008388
228.537856,200,263.44468
214.923985,200,263.849948
226.394229,200,264.254756
222.22447,200,265.351117
222.100829,200,265.805531
228.248124,200,266.213294
226.292287,200,266.631848
231.589568,200,267.017253
230.440542,200,267.422985
231.245611,200,267.828164
222.600501,200,268.232219
233.642681,200,268.661932
225.795253,200,269.280535
226.633058,200,270.408979
226.629749,200,270.832105
232.406148,200,271.267535
231.223583,200,271.664319
230.315573,200,272.066302
224.644033,200,272.470756
227.881261,200,272.924878
231.793779,200,273.349921
229.583975,200,273.819169
226.455787,200,274.227552
228.300692,200,275.262115
223.273409,200,275.673325
224.592475,200,276.078302
224.434222,200,276.496134
230.243327,200,276.889309
232.32013,200,277.277561
232.722055,200,277.678872
222.571652,200,278.071814
233.444296,200,278.47194
228.883402,200,278.873
231.76226,200,279.917056
231.25099,200,280.303058
224.260213,200,280.72123
220.102265,200,281.104963
230.826965,200,281.509809
230.480822,200,281.922997
225.643877,200,282.388042
221.98342,200,282.867484
220.783751,200,283.253746
227.547161,200,283.660595
